curve.id,stressor.label,stressor.x,units.x,response.label,response.y,units.y,plot.type
c1,Cumulative degree days,2500,C*d,Downstream migration probability,0.797342193,probability,scatter
c1,Cumulative degree days,2473.61809,C*d,Downstream migration probability,0.789036545,probability,scatter
c1,Cumulative degree days,2643.21608,C*d,Downstream migration probability,0.818936877,probability,scatter
c1,Cumulative degree days,2662.060302,C*d,Downstream migration probability,0.827242525,probability,scatter
c1,Cumulative degree days,2669.59799,C*d,Downstream migration probability,0.815614618,probability,scatter
c1,Cumulative degree days,2500,C*d,Downstream migration probability,0.848837209,probability,scatter
c1,Cumulative degree days,2515.075377,C*d,Downstream migration probability,0.848837209,probability,scatter
c1,Cumulative degree days,2500,C*d,Downstream migration probability,0.915282392,probability,scatter
c1,Cumulative degree days,2620.603015,C*d,Downstream migration probability,0.951827243,probability,scatter
c1,Cumulative degree days,2729.899497,C*d,Downstream migration probability,0.946843854,probability,scatter
c1,Cumulative degree days,2390.703518,C*d,Downstream migration probability,0.99833887,probability,scatter
c1,Cumulative degree days,2488.693467,C*d,Downstream migration probability,1.00166113,probability,scatter
c1,Cumulative degree days,2609.296482,C*d,Downstream migration probability,0.986710963,probability,scatter
c1,Cumulative degree days,2586.683417,C*d,Downstream migration probability,1,probability,scatter
c1,Cumulative degree days,2613.065327,C*d,Downstream migration probability,0.99833887,probability,scatter
c1,Cumulative degree days,2635.678392,C*d,Downstream migration probability,1,probability,scatter
c1,Cumulative degree days,2722.361809,C*d,Downstream migration probability,1.00166113,probability,scatter
c1,Cumulative degree days,2699.748744,C*d,Downstream migration probability,1,probability,scatter
c1,Cumulative degree days,2775.125628,C*d,Downstream migration probability,1,probability,scatter
c1,Cumulative degree days,2865.577889,C*d,Downstream migration probability,1,probability,scatter
c1,Cumulative degree days,2907.035176,C*d,Downstream migration probability,1,probability,scatter
